mMed,yukawa,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
2000,2.0,349126.08345508575,153.47543781995773,1071.2218370437622,1319.708698362112,472.5995871424675,3017.0055603682995,0.0004395988873163124,0.0030682950596029367,0.0037800346662780625,0.0013536645055718568,0.008641593118769168
2000,2.5,836192.3317193985,806.3850395679474,2645.695434935391,2973.3280843496323,1088.5232239961624,7513.931782849133,0.0009643535452063275,0.0031639795470203,0.003555794488375425,0.001301761786977782,0.008985889367579835
2000,3.0,1709076.5641593933,1489.1523067951202,4720.343654587865,6282.013947963715,2295.3834532499313,14786.893362596631,0.0008713198331916496,0.0027619263838595544,0.0036756773100177133,0.00134305478255675,0.008651978309625667
2000,3.5,3183655.566177368,2927.8685173988342,10757.703728437424,11470.641568481922,3930.91932117939,29087.13313549757,0.0009196561803054409,0.0033790413268085574,0.003602978189708751,0.0012347187814350361,0.009136394478257785
2500,0.5,661.6982620675117,1.1189999950584024,5.386183943366632,5.691910762805492,2.4352643582969904,14.632359059527516,0.0016911031193614246,0.008139939685706914,0.00860197326953952,0.0036803245495732094,0.022113340624181067
2500,1.0,9901.331694945693,7.411573447287083,36.10884083574638,41.525041580200195,29.547171358019114,114.59262722125277,0.0007485430925488992,0.003646867103157322,0.004193884505596089,0.0029841613500436494,0.011573456051345958
2500,1.5,49575.648383796215,22.459949247539043,162.32630987465382,182.96619799360633,76.81107737123966,444.56353448703885,0.00045304398388625153,0.0032743154182873,0.0036906465968362155,0.0015493711101183568,0.008967377109128124
2500,2.0,156699.83887553215,61.778551526367664,435.57787481322885,473.8952202349901,214.21204019337893,1185.4636867679656,0.00039424770293119976,0.0027796957414819782,0.0030242227665046206,0.0013670214451434704,0.007565187656061269
2500,2.5,374369.2094159126,232.58247592300177,979.600198507309,1256.938334941864,467.75765028595924,2936.878659658134,0.0006212649707113328,0.002616668715986745,0.0033574832099651773,0.001249455453389851,0.007844872350053106
2500,3.0,767360.2368021011,388.1129468232393,1808.343245089054,2539.099978506565,1179.7029367685318,5915.25910718739,0.000505776724163689,0.0023565766876651674,0.003308876140218076,0.0015373521850504382,0.00770858173709737
2500,3.5,1384917.6059246063,559.7710521221161,3349.2816455364227,4780.973103523254,2082.495224773884,10772.521025955677,0.0004041908700759123,0.0024183977669201173,0.0034521715104714515,0.0015036961158303398,0.007778456263297821
3000,0.5,320.1587413623929,0.3141545968828721,1.8341405531973578,1.9895999218861107,0.9568009799113497,5.0946960518776905,0.0009812463515630684,0.005728847338018686,0.0062144169902081485,0.0029885205565208387,0.015913031236310743
3000,1.0,4969.978624098003,3.577573660761118,13.22255221940577,21.807804119191132,8.532710125669837,47.14064012502786,0.00071983683056794,0.0026604847262910554,0.0043879070250828316,0.001716850467786153,0.009485079049727979
3000,1.5,24925.759905278683,8.264082659035921,56.41044207941741,66.25448719598353,37.66386542003602,168.59287735447288,0.00033154787217884517,0.002263138307268659,0.002658072911227569,0.001511041812292339,0.006763800902967412
3000,2.0,78915.46292126179,29.135325461626053,142.33884367905557,224.20548318326473,152.1796190738678,547.8592713978142,0.00036919666163139585,0.0018036876222987466,0.002841084305707826,0.0019283878398547267,0.006942356429492695
3000,2.5,189529.5229101181,87.21486528217793,390.48685209453106,524.7555892765522,263.5403896868229,1265.997696340084,0.0004601650652787135,0.0020602956526182695,0.0027687274321130995,0.0013904978266198848,0.006679685976629967
3000,3.0,387335.5307292938,220.5499491095543,691.8218968510628,1183.8226909637451,707.5581397563219,2803.752676680684,0.0005694028345251268,0.0017861049192891432,0.003056323515518412,0.0018267318219531725,0.007238563091285855
3000,3.5,703080.1172304153,188.83848291635513,1606.6390252113342,2155.064058959484,919.7411234974861,4870.28269058466,0.0002685874316290308,0.002285143592938217,0.003065175655156837,0.0013081597686484796,0.006927066448372565
3500,0.5,174.3561380635947,0.1313526775338686,0.5901336336683015,0.7820990976761094,0.37371331232134253,1.877298721199622,0.0007533584936709196,0.00338464501578405,0.004485641322193351,0.002143390628353068,0.010767035460001389
3500,1.0,2757.4208665266633,1.1691587131936103,6.306034550303593,9.496238330379128,5.581569388275966,22.553000982152298,0.0004240044482822532,0.0022869321933604134,0.003443884263609312,0.002024199300162217,0.008179020205414195
