mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
3500,30,2757.4203609116375,1.3251915315631777,8.808653500629589,10.629603368462995,5.326365335378796,26.089813736034557,0.0004805910445678485,0.0031945268938673313,0.0038549085656815543,0.0019316479311184288,0.009461674435235164
3500,40,2757.4204986542463,2.107819151133299,9.047357191098854,10.69735152181238,4.202128441771492,26.054656305816025,0.0007644170166146281,0.0032810944850502123,0.0038794777680927523,0.0015239345771971787,0.009448923846954772
3500,50,2757.420642171055,2.1287988872500136,10.300715818535537,10.467195140663534,4.43003916554153,27.326749011990614,0.000772025440983826,0.0037356345495496357,0.0037960095679932925,0.0016065880909825708,0.009910257649509325
3500,60,2757.420679703355,2.5919504316989332,10.403975033201277,10.977490776218474,4.917786217760295,28.89120245887898,0.0009399909309368699,0.0037730822539274434,0.0039810721871424565,0.0017834733212667984,0.010477618693273568
3500,70,2757.4207852967083,4.012630922021344,11.539839496603236,10.860184856690466,3.6347761566285044,30.04743143194355,0.0014552116758594648,0.004185012152710493,0.003938530134609786,0.0013181797192543428,0.010896933682434086
3500,80,2757.421120982617,4.300430888775736,11.687502074521035,10.661439507442992,3.6018015048466623,30.251173975586426,0.001559584372532572,0.004238562614025438,0.003866453124013117,0.0013062210474267882,0.010970821157997915
3500,90,2757.420285027474,5.2571480898186564,11.527252398605924,11.426574774377514,4.256240978604183,32.46721624140628,0.0019065458096339041,0.004180448102597123,0.00414393657594481,0.0015435590293272157,0.011774489517503053
3500,100,,,,,,,,,,,
4000,1,1634.5889874640852,4.949128940934315,4.813134403666481,2.1266373158432543,0.4042020109482108,12.293102671392262,0.0030277513056125717,0.002944553303967634,0.0013010226620592477,0.0002472805176396625,0.0075206077892791155
4000,5,1634.5890507753938,1.8377171607571654,7.198563301441027,6.119536932557821,1.5176385865779594,16.673455981333973,0.0011242686104409021,0.004403897908178371,0.0037437770243566233,0.0009284526810319957,0.010200396224007893
