mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
3000,1,4969.9785539880395,38.656450271606445,7.420769691467285,0.7974878085587989,0.00029999999242136255,46.87500777162495,0.007777991363883755,0.0014931190569248368,0.00016046101605788097,6.036243198285731e-08,0.009431631799298457
3000,5,4969.977953508496,26.249227046966553,20.72575569152832,3.552940785884857,0.8431804999709129,51.37110402435064,0.0052815580456320186,0.004170190669939938,0.0007148805928558901,0.00016965477671297913,0.010336284085140826
3000,10,4969.978850930929,17.65331220626831,15.637170791625977,7.936698079109192,1.1605879068374634,42.38776898384094,0.003551989401919016,0.0031463254192111846,0.0015969279381586434,0.00023351968723570585,0.00852876244652455
3000,20,4969.978624098003,9.68968915939331,21.09732413291931,13.392369031906128,2.2611864805221558,46.440568804740906,0.0019496440311454828,0.0042449526906664006,0.0026946532459858814,0.0004549690555122934,0.009344219023310058
3000,30,4969.9781753867865,11.050843238830566,19.669699668884277,12.1058189868927,2.3081556856632233,45.13451758027077,0.002223519470077057,0.003957703429422704,0.0024357891643961935,0.0004644196823829296,0.009081431746278885
3000,40,4969.978040121496,18.513957023620605,23.457715034484863,8.23333752155304,1.2653776109218597,51.47038719058037,0.0037251587178377178,0.004719883034716873,0.001656614466922628,0.0002546042659960981,0.010356260485473317
3000,50,4969.977753087878,28.175310134887695,21.44567632675171,7.12735378742218,0.3170398995280266,57.06538014858961,0.005669101862152642,0.004315044733032734,0.0014340816280302082,6.379100979497296e-05,0.011482019233010557
3000,60,4969.978239759803,30.870972156524658,17.923092365264893,3.1994276642799377,0.2754991838519345,52.26899136992142,0.006211490406448267,0.003606271798512162,0.000643750839527733,5.5432674060409825e-05,0.010516945718548571
3000,70,4969.977974966168,35.11261749267578,15.390369653701782,3.540185660123825,0.548760099503852,54.59193290600524,0.0070649442853747855,0.003096667577044252,0.000712314154701646,0.00011041499625711872,0.010984341013377802
3000,80,4969.978153929114,40.134010314941406,14.629533529281616,2.6668822169303894,0.01623843417473836,57.44666449532815,0.008075289080136635,0.0029435810533122663,0.0005365983781683292,3.267304940143599e-06,0.011558735816557374
3000,90,,,,,,,,,,,
3000,100,,,,,,,,,,,
3500,1,2757.420439273119,17.874423503875732,2.6900503039360046,0.057912168093025684,0.00029999999242136255,20.622685975897184,0.006482298908536267,0.0009755676956703513,2.1002298839959224e-05,1.0879733396784615e-07,0.007478977700380546
3500,5,2757.4205662868917,13.220066547393799,10.730929374694824,3.506513774394989,0.32738231867551804,27.78489201515913,0.004794359884388538,0.0038916549422654666,0.0012716644741345411,0.00011872774239744176,0.010076407043185987
3500,10,2757.4206417798996,7.746748924255371,9.124177932739258,3.558993637561798,0.7867814004421234,21.21670189499855,0.0028094186309038753,0.003308953953013731,0.001290696669066961,0.00028533238219840857,0.007694401635182976
3500,20,2757.4208665266633,3.4840219616889954,10.589227676391602,6.946041584014893,1.4145569950342178,22.433848217129707,0.0012635075058663723,0.0038402653018761463,0.0025190356932216704,0.0005130000328227151,0.008135808533786905
3500,30,2757.4203609116375,6.6320061683654785,11.364670515060425,6.309277057647705,1.7076009511947632,26.01355469226837,0.0024051487623645653,0.004121486399448767,0.0022881085332820926,0.0006192748031461584,0.009434018498241584
3500,40,2757.4204986542463,10.549212217330933,11.041723012924194,3.888002395629883,0.5272166132926941,26.006154239177704,0.00382575389661441,0.004004366768983216,0.001410014322272361,0.00019119920721195812,0.009431334195081945
3500,50,2757.420642171055,14.042005062103271,9.785963296890259,3.03657329082489,0.41520317643880844,27.27974482625723,0.005092442134997328,0.0035489555518759303,0.0011012368749201951,0.00015057665489582258,0.009893211216689277
3500,60,2757.420679703355,16.76935338973999,9.521941661834717,2.2808414697647095,0.30751217156648636,28.879648692905903,0.006081536093920949,0.0034532060094867693,0.0008271648524845632,0.00011152167452358729,0.010473428630415869
3500,70,2757.4207852967083,19.40560245513916,9.40222692489624,1.1756618171930313,0.02497253414185252,30.008463731370284,0.0070375919985135845,0.0034097904008816436,0.0004263628617953302,9.056482882486644e-06,0.010882801744073045
3500,80,2757.421120982617,21.354105472564697,7.714874982833862,0.8631482571363449,0.010692586525692604,29.942821299060597,0.007744230763328266,0.0027978588123980996,0.0003130273611702658,3.87774882999455e-06,0.010858994685726627
3500,90,2757.420285027474,23.628417015075684,8.015172004699707,0.783241331577301,0.016281258016533684,32.443111609369225,0.008569029952878676,0.002906764720714255,0.0002840485854950099,5.904525365588751e-06,0.01176574778445353
3500,100,,,,,,,,,,,
4000,1,1634.5889874640852,10.057772397994995,1.690337896347046,0.16459904797375202,0.00029999999242136255,11.913009342308214,0.00615308953818336,0.0010341057656147862,0.00010069751432077878,1.8353237096426606e-07,0.00728807635048989
4000,5,1634.5890507753938,8.346455097198486,6.440983772277832,1.708050936460495,0.13783694989979267,16.633326755836606,0.005106148908338283,0.003940430023816963,0.0010449421129122658,8.432513960276895e-05,0.01017584618467028
4000,10,1634.5890482980758,4.865715742111206,4.986869513988495,1.3584045469760895,0.2919830456376076,11.502972848713398,0.0029767211197073416,0.0030508399155009594,0.0008310373475158494,0.00017862780002204134,0.007037226182746191
4000,20,1634.5886925887316,1.842663824558258,4.72062623500824,4.508784532546997,0.8291242346167564,11.901198826730251,0.0011272951005429958,0.002887959678426557,0.002758360285367166,0.0005072372263285729,0.007280852290665292
4000,30,1634.5887264050543,3.1658118963241577,6.705602049827576,3.550711512565613,0.638293594121933,14.06041905283928,0.0019367635694433776,0.004102317568637087,0.0021722354101723685,0.00039049186123149766,0.00860180840948433
4000,40,1634.588922308758,4.303052604198456,5.939755916595459,2.751113176345825,0.25008717365562916,13.24400887079537,0.0026324983275432053,0.00363379185771424,0.0016830611897577553,0.0001529969830594448,0.008102348358074645
4000,50,1634.5887099206448,7.239489555358887,6.4168617725372314,1.918773591518402,0.6215146332979202,16.19663955271244,0.004428936472778125,0.003925673616605827,0.0011738571176180177,0.00038022692162610936,0.00990869412862808
4000,60,1634.5889981929213,9.126883506774902,6.4793360233306885,1.5233789682388306,0.16745419148355722,17.29705268982798,0.00558359533611501,0.003963893082905706,0.0009319645304862347,0.00010244421788515767,0.010581897167392109
4000,70,1634.5887101162225,12.076480627059937,5.747874855995178,0.9716702103614807,0.1776209754680167,18.973646668884612,0.00738808518150188,0.003516404353231152,0.0005944432408886472,0.00010866401705135202,0.011607596792673031
4000,80,1634.5890889130533,13.63184118270874,4.678307771682739,0.30573077872395515,0.038190774619579315,18.654070507735014,0.00833961346932363,0.002862069619462379,0.0001870383087698547,2.3364143856469087e-05,0.011412085541412334
4000,90,1634.5889115799218,14.56631326675415,3.9826077222824097,0.6220108643174171,0.0024713388629606925,19.173403192216938,0.008911300672335401,0.0024364583009638774,0.0003805304562577809,1.5119023783001224e-06,0.011729801331935361
4000,100,1634.5888860151172,15.58358383178711,3.0769075751304626,0.3232631981372833,0.029994486234500073,19.013749091289355,0.009533641128429273,0.0018823739727189155,0.00019776422126871948,1.8349865517330254e-05,0.011632129187934237
